family,item,day,n_in_daily,n_in_weekly,mean_diff,model
BOLLERIA,3880,Friday,6,2,26.666666666666668,GradientBoostingRegressor()
BOLLERIA,3880,Monday,3,0,26.2,Ridge()
BOLLERIA,3880,Saturday,6,1,39.53333333333333,RandomForestRegressor(random_state=42)
BOLLERIA,3880,Sunday,6,1,51.46666666666667,AdaBoostRegressor(n_estimators=100)
BOLLERIA,3880,Thursday,3,1,40.666666666666664,Ridge()
BOLLERIA,3880,Tuesday,6,0,47.53333333333333,AdaBoostRegressor(n_estimators=100)
BOLLERIA,3880,Wednesday,3,0,25.8,GradientBoostingRegressor()
BOLLERIA,3960,Friday,6,2,38.0,SVR()
BOLLERIA,3960,Monday,6,2,60.60000000000001,AdaBoostRegressor(n_estimators=100)
BOLLERIA,3960,Saturday,4,0,50.6,Ridge()
BOLLERIA,3960,Sunday,2,0,64.6,SVR()
BOLLERIA,3960,Thursday,6,0,25.866666666666667,GradientBoostingRegressor()
BOLLERIA,3960,Tuesday,6,2,60.53333333333333,AdaBoostRegressor(n_estimators=100)
BOLLERIA,3960,Wednesday,4,1,34.666666666666664,AdaBoostRegressor(n_estimators=100)
BOLLERIA,5803,Friday,6,1,14.466666666666667,RandomForestRegressor(random_state=42)
BOLLERIA,5803,Monday,4,1,17.333333333333332,Ridge()
BOLLERIA,5803,Saturday,6,0,29.466666666666665,RandomForestRegressor(random_state=42)
BOLLERIA,5803,Sunday,2,1,40.2,GradientBoostingRegressor()
BOLLERIA,5803,Thursday,5,1,25.533333333333335,Ridge()
BOLLERIA,5803,Tuesday,6,0,38.952666664123534,Ridge()
BOLLERIA,5803,Wednesday,3,1,15.266666666666667,Ridge()
BOLLERIA,6286,Friday,4,1,17.2,KNeighborsRegressor()
BOLLERIA,6286,Monday,6,2,22.866666666666667,RandomForestRegressor(random_state=42)
BOLLERIA,6286,Saturday,2,1,23.133333333333333,AdaBoostRegressor(n_estimators=100)
BOLLERIA,6286,Sunday,3,0,37.333333333333336,RandomForestRegressor(random_state=42)
BOLLERIA,6286,Thursday,2,1,23.733333333333334,RandomForestRegressor(random_state=42)
BOLLERIA,6286,Tuesday,5,1,31.933333333333334,AdaBoostRegressor(n_estimators=100)
