familia,articulo,fecha_venta,festivo,precio,cantidad,importe,orden_articulo_familia,tavg_w,tmin_w,tmax_w,prcp_w,wdir_w,wspd_w,pres_w
BOLLERIA,3960,2021-05-18,,2.318000078201294,216.0,500.6880078315735,1,19.8,18.0,23.4,0.0,119.0,11.8,1019.8
PANADERIA,1043,2021-05-18,,2.595999956130981,195.0,506.22000312805176,2,19.8,18.0,23.4,0.0,119.0,11.8,1019.8
PANADERIA,968,2021-05-18,,2.1630001068115234,237.0,512.63099193573,1,19.8,18.0,23.4,0.0,119.0,11.8,1019.8
PANADERIA,1084,2021-05-18,,0.8650000095367432,345.0,298.4250059127808,4,19.8,18.0,23.4,0.0,119.0,11.8,1019.8
BOLLERIA,5803,2021-05-18,,2.726999998092652,72.0,196.343994140625,5,19.8,18.0,23.4,0.0,119.0,11.8,1019.8
BOLLERIA,3880,2021-05-18,,2.5910000801086426,81.0,209.87099742889404,3,19.8,18.0,23.4,0.0,119.0,11.8,1019.8
PASTELERIA,5403,2021-05-18,,34.090999603271484,21.300000190734863,726.1389923095703,2,19.8,18.0,23.4,0.0,119.0,11.8,1019.8
PASTELERIA,5404,2021-05-18,,39.54499816894531,8.550000190734863,338.1100082397461,1,19.8,18.0,23.4,0.0,119.0,11.8,1019.8
PANADERIA,900,2021-05-18,,0.8650000095367432,423.0,365.89500522613525,3,19.8,18.0,23.4,0.0,119.0,11.8,1019.8
PASTELERIA,6451,2021-05-18,,37.90900039672852,3.0,113.72699737548828,4,19.8,18.0,23.4,0.0,119.0,11.8,1019.8
BOLLERIA,6425,2021-05-18,,31.36400032043457,16.380000114440918,513.7427043914795,2,19.8,18.0,23.4,0.0,119.0,11.8,1019.8
PANADERIA,417,2021-05-18,,4.038000106811523,84.0,339.1919994354248,5,19.8,18.0,23.4,0.0,119.0,11.8,1019.8
BOLLERIA,6286,2021-05-18,,3.135999917984009,60.0,188.16000366210935,4,19.8,18.0,23.4,0.0,119.0,11.8,1019.8
BOLLERIA,6286,2021-08-29,,3.135999917984009,99.0,310.4640054702759,4,29.0,26.1,33.8,0.0,246.0,18.9,1012.6
PASTELERIA,5404,2021-08-29,,39.54499816894531,4.800000190734863,189.8159942626953,1,29.0,26.1,33.8,0.0,246.0,18.9,1012.6
PASTELERIA,6451,2021-08-29,,37.90900039672852,9.0,341.18099212646484,4,29.0,26.1,33.8,0.0,246.0,18.9,1012.6
BOLLERIA,3880,2021-08-29,,2.5910000801086426,138.0,357.55799865722656,3,29.0,26.1,33.8,0.0,246.0,18.9,1012.6
PASTELERIA,6523,2021-08-29,,32.590999603271484,9.0,293.3190078735352,3,29.0,26.1,33.8,0.0,246.0,18.9,1012.6
PANADERIA,900,2021-08-29,,0.8650000095367432,693.0,599.4449896812439,3,29.0,26.1,33.8,0.0,246.0,18.9,1012.6
BOLLERIA,6425,2021-08-29,,31.36400032043457,14.98500007390976,469.9896068572998,2,29.0,26.1,33.8,0.0,246.0,18.9,1012.6
PASTELERIA,5403,2021-08-29,,34.090999603271484,25.5,869.3210067749023,2,29.0,26.1,33.8,0.0,246.0,18.9,1012.6
PANADERIA,417,2021-08-29,,4.038000106811523,60.0,242.2800006866455,5,29.0,26.1,33.8,0.0,246.0,18.9,1012.6
PANADERIA,1084,2021-08-29,,0.8650000095367432,255.0,220.5749983787537,4,29.0,26.1,33.8,0.0,246.0,18.9,1012.6
BOLLERIA,5803,2021-08-29,,2.726999998092652,78.0,212.70599365234372,5,29.0,26.1,33.8,0.0,246.0,18.9,1012.6
PASTELERIA,6549,2021-08-29,,28.5,18.0,513.0,5,29.0,26.1,33.8,0.0,246.0,18.9,1012.6
BOLLERIA,3960,2021-08-29,,2.318000078201294,300.0,695.4000091552734,1,29.0,26.1,33.8,0.0,246.0,18.9,1012.6
PANADERIA,968,2021-08-29,,2.1630001068115234,402.0,869.5259914398193,1,29.0,26.1,33.8,0.0,246.0,18.9,1012.6
PANADERIA,1043,2021-08-29,,2.595999956130981,237.0,615.2520065307617,2,29.0,26.1,33.8,0.0,246.0,18.9,1012.6
BOLLERIA,3880,2021-09-21,,3.0,102.0,306.0,3,22.4,20.3,26.4,0.0,153.0,11.5,1016.9
PASTELERIA,6451,2021-09-21,,40.77299880981445,6.0,244.63800048828125,4,22.4,20.3,26.4,0.0,153.0,11.5,1016.9
BOLLERIA,5803,2021-09-21,,3.0,27.0,81.0,5,22.4,20.3,26.4,0.0,153.0,11.5,1016.9
PANADERIA,1084,2021-09-21,,0.8650000095367432,429.0,371.0850024223328,4,22.4,20.3,26.4,0.0,153.0,11.5,1016.9
PANADERIA,900,2021-09-21,,0.8650000095367432,774.0,669.5100107192993,3,22.4,20.3,26.4,0.0,153.0,11.5,1016.9
PASTELERIA,5403,2021-09-21,,36.81800079345703,12.0,441.8160095214844,2,22.4,20.3,26.4,0.0,153.0,11.5,1016.9
BOLLERIA,6286,2021-09-21,,3.4089999198913574,78.0,265.90200328826904,4,22.4,20.3,26.4,0.0,153.0,11.5,1016.9
PANADERIA,1043,2021-09-21,,2.740000009536743,168.0,460.3200092315674,2,22.4,20.3,26.4,0.0,153.0,11.5,1016.9
PANADERIA,968,2021-09-21,,2.308000087738037,252.0,581.6159858703613,1,22.4,20.3,26.4,0.0,153.0,11.5,1016.9
BOLLERIA,3960,2021-09-21,,2.5910000801086426,159.0,411.96900177001953,1,22.4,20.3,26.4,0.0,153.0,11.5,1016.9
PANADERIA,417,2021-09-21,,4.327000141143799,63.0,272.6010036468506,5,22.4,20.3,26.4,0.0,153.0,11.5,1016.9
PASTELERIA,5404,2021-09-21,,40.77299880981445,10.5,428.1170043945313,1,22.4,20.3,26.4,0.0,153.0,11.5,1016.9
PASTELERIA,6523,2021-09-21,,36.81800079345703,9.0,331.3620071411133,3,22.4,20.3,26.4,0.0,153.0,11.5,1016.9
BOLLERIA,6425,2021-09-21,,32.590999603271484,14.609999895095823,476.1540946960449,2,22.4,20.3,26.4,0.0,153.0,11.5,1016.9
BOLLERIA,5803,2021-10-21,,3.0,42.0,126.0,5,20.1,13.8,29.5,0.0,308.0,10.2,1017.7
PASTELERIA,5404,2021-10-21,,40.77299880981445,4.5,183.47900390625,1,20.1,13.8,29.5,0.0,308.0,10.2,1017.7
PANADERIA,417,2021-10-21,,4.327000141143799,51.0,220.67700099945068,5,20.1,13.8,29.5,0.0,308.0,10.2,1017.7
PASTELERIA,5403,2021-10-21,,36.81800079345703,4.5,165.68099975585938,2,20.1,13.8,29.5,0.0,308.0,10.2,1017.7
BOLLERIA,6425,2021-10-21,,32.590999603271484,9.218999922275543,300.45639419555664,2,20.1,13.8,29.5,0.0,308.0,10.2,1017.7
PASTELERIA,6451,2021-10-21,,40.77299880981445,3.0,122.31900024414062,4,20.1,13.8,29.5,0.0,308.0,10.2,1017.7
PANADERIA,968,2021-10-21,,2.308000087738037,225.0,519.299991607666,1,20.1,13.8,29.5,0.0,308.0,10.2,1017.7
BOLLERIA,6286,2021-10-21,,3.4089999198913574,75.0,255.67499923706052,4,20.1,13.8,29.5,0.0,308.0,10.2,1017.7
BOLLERIA,3880,2021-10-21,,3.0,132.0,396.0,3,20.1,13.8,29.5,0.0,308.0,10.2,1017.7
PANADERIA,1043,2021-10-21,,2.740000009536743,132.0,361.68001079559326,2,20.1,13.8,29.5,0.0,308.0,10.2,1017.7
BOLLERIA,3960,2021-10-21,,2.5910000801086426,219.0,567.4289999008179,1,20.1,13.8,29.5,0.0,308.0,10.2,1017.7
PANADERIA,1084,2021-10-21,,0.8650000095367432,492.0,425.5800039768219,4,20.1,13.8,29.5,0.0,308.0,10.2,1017.7
PANADERIA,900,2021-10-21,,0.8650000095367432,486.0,420.3900060653687,3,20.1,13.8,29.5,0.0,308.0,10.2,1017.7
PASTELERIA,6549,2021-10-21,,29.86400032043457,3.0,89.59200286865234,5,20.1,13.8,29.5,0.0,308.0,10.2,1017.7
BOLLERIA,3880,2021-12-07,,3.0,141.0,423.0,3,14.8,9.5,20.9,0.0,295.0,14.2,1022.1
PANADERIA,968,2021-12-07,,2.308000087738037,327.0,754.7159881591797,1,14.8,9.5,20.9,0.0,295.0,14.2,1022.1
PASTELERIA,5403,2021-12-07,,36.81800079345703,4.5,165.68099975585938,2,14.8,9.5,20.9,0.0,295.0,14.2,1022.1
PANADERIA,1043,2021-12-07,,2.740000009536743,189.0,517.8599967956543,2,14.8,9.5,20.9,0.0,295.0,14.2,1022.1
PANADERIA,417,2021-12-07,,4.327000141143799,72.0,311.5439968109131,5,14.8,9.5,20.9,0.0,295.0,14.2,1022.1
BOLLERIA,3960,2021-12-07,,2.5910000801086426,282.0,730.6620063781738,1,14.8,9.5,20.9,0.0,295.0,14.2,1022.1
PASTELERIA,6451,2021-12-07,,40.77299880981445,12.0,489.2760009765625,4,14.8,9.5,20.9,0.0,295.0,14.2,1022.1
PASTELERIA,6523,2021-12-07,,36.81800079345703,12.0,441.8160095214844,3,14.8,9.5,20.9,0.0,295.0,14.2,1022.1
PASTELERIA,5404,2021-12-07,,40.77299880981445,4.5,183.47900390625,1,14.8,9.5,20.9,0.0,295.0,14.2,1022.1
PANADERIA,900,2021-12-07,,0.8650000095367432,918.0,794.07000207901,3,14.8,9.5,20.9,0.0,295.0,14.2,1022.1
BOLLERIA,6425,2021-12-07,,32.590999603271484,17.5829998254776,573.0470924377441,2,14.8,9.5,20.9,0.0,295.0,14.2,1022.1
BOLLERIA,5803,2021-12-07,,3.0,93.0,279.0,5,14.8,9.5,20.9,0.0,295.0,14.2,1022.1
PANADERIA,1084,2021-12-07,,0.8650000095367432,396.0,342.54000186920166,4,14.8,9.5,20.9,0.0,295.0,14.2,1022.1
BOLLERIA,6286,2021-12-07,,3.4089999198913574,108.0,368.1720037460327,4,14.8,9.5,20.9,0.0,295.0,14.2,1022.1
BOLLERIA,5803,2022-02-12,,3.0,114.0,342.0,5,12.2,9.3,16.2,0.0,276.0,8.2,1025.9
